lon,lat
1.849111,41.610233
1.848997,41.610335
1.848950,41.610539
1.848919,41.610682
1.848877,41.610737
1.848791,41.610763
1.848678,41.610722
1.848530,41.610718
1.848420,41.610755
1.848332,41.610869
1.848066,41.610942
1.847962,41.610949
1.847544,41.610839
1.846367,41.610489
1.846046,41.610420
1.846072,41.610335
1.845952,41.610326
1.845820,41.610310
1.845733,41.610299
1.845670,41.610291
1.845543,41.610297
1.845408,41.610298
1.845258,41.610298
1.845168,41.610289
1.845049,41.610251
1.844911,41.610228
1.844750,41.610197
1.844619,41.610133
1.844419,41.609976
1.844296,41.609851
1.844174,41.609781
1.844103,41.609732
1.844015,41.609684
1.843928,41.609637
1.843851,41.609599
1.843778,41.609561
1.843712,41.609535
1.843624,41.609505
1.843560,41.609491
1.843519,41.609491
1.843462,41.609513
1.843387,41.609544
1.843310,41.609576
1.843207,41.609624
1.843133,41.609653
1.843060,41.609681
1.843003,41.609699
1.842932,41.609712
1.842859,41.609720
1.842750,41.609725
1.842764,41.609675
1.842756,41.609514
1.842256,41.609543
1.842228,41.609271
1.842230,41.609142
1.842358,41.609074
1.842528,41.609098
1.842514,41.609050
1.842394,41.608963
1.842512,41.608982
1.842666,41.609001
1.842778,41.608988
1.843000,41.608888
1.842964,41.608810
1.843147,41.608635
1.843301,41.608526
1.843355,41.608469
1.843447,41.608342
1.843524,41.608246
1.843642,41.607992
1.843957,41.607876
1.844076,41.607816
1.844190,41.607718
1.844297,41.607596
1.844288,41.607480
1.844306,41.607455
1.844117,41.607352
1.844014,41.607262
1.843894,41.607179
1.843705,41.607121
1.843568,41.607050
1.843473,41.606986
1.843456,41.606915
1.843465,41.606871
1.843413,41.606877
1.843353,41.606948
1.843276,41.606992
1.843233,41.606999
1.843233,41.606973
1.843276,41.606883
1.843259,41.606851
1.843138,41.606871
1.843010,41.606890
1.842872,41.606922
1.842984,41.606755
1.842950,41.606729
1.842787,41.606781
1.842744,41.606845
1.842561,41.606910
1.842376,41.606940
1.841902,41.606875
1.842183,41.606808
1.842431,41.606829
1.842640,41.606608
1.842877,41.606212
1.842905,41.606060
1.842601,41.605561
1.842578,41.605430
1.842709,41.605241
1.843035,41.605067
1.843078,41.604958
1.843027,41.604689
1.842565,41.604236
1.842445,41.604223
1.842356,41.604151
1.842194,41.604130
1.842031,41.603918
1.841782,41.603809
1.841114,41.603566
1.840744,41.603369
1.840529,41.603225
1.840074,41.602506
1.839885,41.602359
1.839820,41.602223
1.839576,41.602051
1.839341,41.601596
1.839095,41.601560
1.838953,41.601480
1.838996,41.601287
1.839263,41.601167
1.839332,41.600623
1.839233,41.600585
1.839168,41.600617
1.838975,41.601097
1.838747,41.601106
1.838647,41.601010
1.838850,41.600913
1.838703,41.600157
1.838747,41.599934
1.838888,41.599777
1.839031,41.599744
1.839405,41.599695
1.839573,41.599786
1.839762,41.599638
1.840408,41.599442
1.840486,41.599361
1.840847,41.598591
1.841087,41.598277
1.841525,41.597397
1.841833,41.597204
1.842040,41.597027
1.842529,41.597019
1.842615,41.596987
1.843156,41.596236
1.843130,41.596037
1.843594,41.595514
1.843773,41.595453
1.844145,41.595491
1.844683,41.595507
1.844881,41.595424
1.845054,41.595273
1.845229,41.594903
1.844898,41.595111
1.844601,41.595195
1.844247,41.595152
1.843816,41.594881
1.843511,41.594747
1.843434,41.594642
1.843606,41.594584
1.843494,41.594521
1.843290,41.594581
1.843273,41.594547
1.843411,41.594440
1.843352,41.594274
1.843418,41.594157
1.843279,41.594192
1.843297,41.594125
1.843244,41.594096
1.842885,41.594320
1.842902,41.594195
1.843045,41.594079
1.842985,41.593825
1.842866,41.593792
1.842397,41.593826
1.842283,41.593786
1.841810,41.593464
1.841595,41.593380
1.841441,41.593354
1.841286,41.593149
1.840994,41.593387
1.840642,41.593361
1.840556,41.593201
1.840445,41.593220
1.840127,41.593156
1.839827,41.593143
1.839784,41.593252
1.839776,41.593374
1.839638,41.593464
1.839518,41.593477
1.838905,41.593238
1.838708,41.593103
1.837963,41.592914
1.837158,41.592526
1.836443,41.592435
1.836293,41.592372
1.835603,41.592085
1.835336,41.592172
1.834700,41.591941
1.834529,41.591973
1.834460,41.592108
1.834494,41.592166
1.834185,41.592249
1.833928,41.592249
1.833224,41.592038
1.832735,41.591864
1.832460,41.591845
1.832306,41.591774
1.832160,41.591620
1.832048,41.591575
1.831773,41.591518
1.831456,41.591287
1.831267,41.591287
1.831164,41.591376
1.831044,41.591383
1.830975,41.591530
1.830881,41.591518
1.830786,41.591608
1.830838,41.591697
1.830761,41.591749
1.830769,41.591800
1.830649,41.591839
1.830477,41.591916
1.830332,41.591954
1.830256,41.592028
1.830029,41.592138
1.829782,41.592114
1.829406,41.592266
1.829032,41.592337
1.828897,41.592411
1.827599,41.592375
1.827004,41.592436
1.825228,41.593231
1.824865,41.593670
1.823871,41.595935
1.822639,41.596617
1.822307,41.597163
1.821995,41.597959
1.820548,41.599145
1.819312,41.599296
1.818422,41.600072
1.817618,41.600385
1.817277,41.600642
1.817131,41.601090
1.817248,41.601535
1.816630,41.601453
1.816273,41.601495
1.815698,41.601987
1.815405,41.602080
1.814819,41.601619
1.814133,41.601747
1.813440,41.602100
1.813286,41.602457
1.813465,41.603080
1.812802,41.603360
1.812563,41.604343
1.811580,41.605320
